Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Дополнительная информация по товару";Возраст;Порода;Размер;Вкус;"Особые серии"
"новые товары";"43820 Рулетка Flexi ""New COMFORT"" (L) лента 8м черная";118.95;43820-ruletka-flexi-new-comfort-l-lenta-8m-chernaya;0;;;;;4000498043820;0;"43820 Рулетка Flexi ""New COMFORT"" (L) лента 8м черная";"43820 Рулетка Flexi ""New COMFORT"" (L) лента 8м черная";;;;;;;;;;
"новые товары";"43646 Рулетка Flexi ""New COMFORT"" (М) лента 5м черная";73.95;43646-ruletka-flexi-new-comfort-m-lenta-5m-chernaya;0;;;;;4000498043646;0;"43646 Рулетка Flexi ""New COMFORT"" (М) лента 5м черная";"43646 Рулетка Flexi ""New COMFORT"" (М) лента 5м черная";;;;;;;;;;
"новые товары";"43615 Рулетка Flexi ""New COMFORT"" (М) лента 5м светло-голубая";73.95;43615-ruletka-flexi-new-comfort-m-lenta-5m-svetlo-golubaya;0;;;;;4000498043615;0;"43615 Рулетка Flexi ""New COMFORT"" (М) лента 5м светло-голубая";"43615 Рулетка Flexi ""New COMFORT"" (М) лента 5м светло-голубая";;;;;;;;;;
"новые товары";"43608 Рулетка Flexi ""New COMFORT"" (М) лента 5м розовая";73.95;43608-ruletka-flexi-new-comfort-m-lenta-5m-rozovaya;0;;;;;4000498043608;0;"43608 Рулетка Flexi ""New COMFORT"" (М) лента 5м розовая";"43608 Рулетка Flexi ""New COMFORT"" (М) лента 5м розовая";;;;;;;;;;
"новые товары";"43523 Рулетка Flexi ""New COMFORT"" (S) лента 5м красная";60.95;43523-ruletka-flexi-new-comfort-s-lenta-5m-krasnaya;0;;;;;4000498043523;0;"43523 Рулетка Flexi ""New COMFORT"" (S) лента 5м красная";"43523 Рулетка Flexi ""New COMFORT"" (S) лента 5м красная";;;;;;;;;;
"новые товары";"43516 Рулетка Flexi ""New COMFORT"" (S) лента 5м светло-голубая";60.95;43516-ruletka-flexi-new-comfort-s-lenta-5m-svetlo-golubaya;0;;;;;4000498043516;0;"43516 Рулетка Flexi ""New COMFORT"" (S) лента 5м светло-голубая";"43516 Рулетка Flexi ""New COMFORT"" (S) лента 5м светло-голубая";;;;;;;;;;
"новые товары";"43509 Рулетка Flexi ""New COMFORT"" (S) лента 5м розовая";60.95;43509-ruletka-flexi-new-comfort-s-lenta-5m-rozovaya;0;;;;;4000498043509;0;"43509 Рулетка Flexi ""New COMFORT"" (S) лента 5м розовая";"43509 Рулетка Flexi ""New COMFORT"" (S) лента 5м розовая";;;;;;;;;;
"новые товары";"43042 Поводок-рулетка  ""Flexi"", ""New Comfort"" (S), трос, черная 8м";73.95;43042-povodok-ruletka-flexi-new-comfort-s-tros-chernaya-8m;0;;;;;4000498043042;0;"43042 Поводок-рулетка  ""Flexi"", ""New Comfort"" (S), трос, черная 8м";"43042 Поводок-рулетка  ""Flexi"", ""New Comfort"" (S), трос, черная 8м";;;;;;;;;;
"новые товары";"42908 Поводок-рулетка  ""Flexi"", ""New Comfort"" (М), трос, розовая 5м";57.95;42908-povodok-ruletka-flexi-new-comfort-m-tros-rozovaya-5m;0;;;;;4000498042908;0;"42908 Поводок-рулетка  ""Flexi"", ""New Comfort"" (М), трос, розовая 5м";"42908 Поводок-рулетка  ""Flexi"", ""New Comfort"" (М), трос, розовая 5м";;;;;;;;;;
"новые товары";"42847 Поводок-рулетка  ""Flexi"", ""New Comfort"" (S), трос, черная 5м";53.95;42847-povodok-ruletka-flexi-new-comfort-s-tros-chernaya-5m;0;;;;;4000498042847;0;"42847 Поводок-рулетка  ""Flexi"", ""New Comfort"" (S), трос, черная 5м";"42847 Поводок-рулетка  ""Flexi"", ""New Comfort"" (S), трос, черная 5м";;;;;;;;;;
"новые товары";"42823 Поводок-рулетка  ""Flexi"", ""New Comfort"" (S), трос, красная 5м";53.95;42823-povodok-ruletka-flexi-new-comfort-s-tros-krasnaya-5m;0;;;;;4000498042823;0;"42823 Поводок-рулетка  ""Flexi"", ""New Comfort"" (S), трос, красная 5м";"42823 Поводок-рулетка  ""Flexi"", ""New Comfort"" (S), трос, красная 5м";;;;;;;;;;
