Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Состав ";"Материал подкладки";"Страна производства ";"Доступные размеры";"Параметры модели";"Рост модели на фото ";Длина;"Длина рукава";Сезон;Цвет;Узор;Застежка;"Детали одежды";Технологии;"Вид спорта";Высота;"Длина по внутреннему шву";"Длина по боковому шву";"Обхват по талии";"Обхват по бедрам";"Ширина по низу";Посадка;Талия
"Детям/Мальчикам/Футболки и поло, Детям/Мальчикам/Рубашки, Детям/Мальчикам/Шорты";"Поло Tommy Hilfiger  ";174.00;boy-red-polo-tommy-hilfiger;1;1;"Tommy Hilfiger";;205.00;;0;"Поло Tommy Hilfiger  ";"Поло Tommy Hilfiger  , Tommy Hilfiger, Футболки и поло";"краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание  краткое описание";"<p>краткое описание&nbsp;<span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span><span>краткое описание</span></p>";"<p>полное описание&nbsp;<span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span><span>полное описание&nbsp;</span></p>";TO263EBSVR36_4715730_1_v3.jpg;"Хлопок - 96%. Эластан - 4%";;Индия;S;;;"51 см";"16 см";мульти;мультиколор;"полоска. рисунки и надписи";"на пуговицах";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Поло Tommy Hilfiger ";104.00;boy-polo-tommy-hilfiger-red;1;0;"Tommy Hilfiger";;;;;"Поло Tommy Hilfiger ";"Поло Tommy Hilfiger , Tommy Hilfiger, Футболки и поло";;;;TO263EBSVR29_4715723_1_v3.jpg;"Хлопок - 96%. Эластан - 4%";;Индия;M;;;"51 см";"17 см";мульти;белый;"геометрия. рисунки и надписи";"без застежки";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Поло Tommy Hilfiger";159.00;polo-tommy-hilfiger-boy;1;0;"Tommy Hilfiger";;;;;"Поло Tommy Hilfiger";"Поло Tommy Hilfiger, Tommy Hilfiger, Футболки и поло";;;;TO263EBQTV34_4344273_1_v1.jpg;"Хлопок - 96%. Эластан - 4%";;Тунис;XS;;;"55 см";"14 см";мульти;желтый;однотонный;"на пуговицах";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Футболка Sela  ";17.00;futbolka-sela-boy-bej;1;;SELA;;;;;"Футболка Sela  ";"Футболка Sela  , SELA, Футболки и поло";;;;SE001EBQNZ39_4600112_1_v1.jpg;"Хлопок - 100%";;Бангладеш;S;;;"48 см";"15 см";мульти;бежевый;"рисунки и надписи";"без застежки";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Футболка Sela ";18.00;futbolka-sela-boy-boy-blue;1;;SELA;;;;;"Футболка Sela ";"Футболка Sela , SELA, Футболки и поло";;;;SE001EBQNZ34_4600109_1_v1.jpg;"Хлопок - 100%";;Бангладеш;M;;;"44 см";"10 см";мульти;голубой;"рисунки и надписи";"без застежки";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Футболка Sela";32.00;futbolka-sela-boy;1;;SELA;;;;;"Футболка Sela";"Футболка Sela, SELA, Футболки и поло";;;;SE001EBQNZ59_4549987_1_v1.jpg;"Хлопок - 100%";;Вьетнам;XS;;;"49 см";"10 см";мульти;голубой;"рисунки и надписи";"без застежки";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Поло Sela";32.00;polo-sela-boy;1;;SELA;;;;;"Поло Sela";"Поло Sela, SELA, Футболки и поло";;;;SE001EBQNZ87_4496258_1_v2.jpg;"Хлопок - 100%";;Вьетнам;S;;;"52 см";"14 см";мульти;мультиколор;полоска;"без застежки";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Футболка B NSW TEE SS AIRMAX AOP Nike";84.00;futbolka-b-nsw-tee-ss-airmax-aop-nike;1;;Nike;;;;;"Футболка B NSW TEE SS AIRMAX AOP Nike";"Футболка Nike  , Футболки и поло";;;;NI464EBPDF40_4600092_1_v1.jpg;"Хлопок - 100%";;Вьетнам;M;;;"66 см";"24 см";мульти;красный;"рисунки и надписи";"без застежки";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Футболка Nike  ";42.00;futbolka-nike-boy-bordo;1;;Nike;;;;;"Футболка Nike  ";"Футболка Nike  , Футболки и поло";;;;NI464EBSKO69_4664951_1_v3.jpg;"Хлопок - 100%";;Вьетнам;XS;;;"38 см";"11 см";мульти;бордовый;"рисунки и надписи";"без застежки";;;;;;;;;;;
"Детям/Мальчикам/Футболки и поло";"Футболка спортивная B NK DRY TEE SS LIFTOFF Nike";70.00;futbolka-sportivnaya-b-nk-dry-tee-ss-liftoff-nike;1;;Nike;;;;;"Футболка спортивная B NK DRY TEE SS LIFTOFF Nike";"Футболка Nike , Футболки и поло";;;;NI464EBPDB23_4215190_1_v1.jpg;"Хлопок - 58%. Полиэстер - 42%";;Китай;S;;;"61 см";"25 см";мульти;черный;"рисунки и надписи";"без застежки";;;;;;;;;;;
